entry,name,requiredlevel,ilvl
789,Stout Battlehammer,17,22
790,Forester's Axe,18,23
791,Gnarled Ash Staff,26,31
792,Knitted Sandals,5,10
793,Knitted Gloves,5,10
794,Knitted Pants,5,10
795,Knitted Tunic,5,10
796,Rough Leather Boots,5,10
797,Rough Leather Gloves,5,10
798,Rough Leather Pants,5,10
799,Rough Leather Vest,5,10
804,Large Blue Sack,0,25
805,Small Red Pouch,0,5
806,Deprecated Brown Leather Satchel,0,15
807,Deprecated Iron Ingot,0,10
808,Deprecated Malachite,0,10
809,Bloodrazor,45,50
810,Hammer of the Northern Wind,49,54
811,Axe of the Deep Woods,52,57
812,Glowing Brightwood Staff,49,54
813,Broken Cog,0,1
814,Flask of Oil,0,1
816,Small Hand Blade,6,11
818,Tigerseye,0,15
820,Slicer Blade,12,17
821,Riverpaw Leather Vest,8,13
823,Deprecated Horse Summoning (Mount),1,1
826,Brutish Riverpaw Axe,10,15
827,Wicked Blackjack,12,17
828,Small Blue Pouch,0,5
829,Red Leather Bandana,0,1
832,Silver Defias Belt,10,15
833,Lifestone,51,56
835,Large Rope Net,2,12
836,Deprecated Heavy Net,5,15
837,Heavy Weave Armor,12,17
838,Heavy Weave Pants,12,17
839,Heavy Weave Gloves,12,17
840,Heavy Weave Shoes,12,17
841,Furlbrow's Pocket Watch,0,1
842,Deprecated Wolf Summoning (Mount),1,1
843,Tanned Leather Boots,12,17
844,Tanned Leather Gloves,12,17
845,Tanned Leather Pants,12,17
846,Tanned Leather Jerkin,12,17
847,Chainmail Armor,12,17
848,Chainmail Pants,12,17
849,Chainmail Boots,12,17
850,Chainmail Gloves,12,17
851,Cutlass,10,15
852,Mace,9,14
853,Hatchet,11,16
854,Quarter Staff,11,16
855,Deprecated White Leather Satchel,0,15
856,Blue Leather Bag,0,15
857,Large Red Sack,0,25
858,Lesser Healing Potion,3,13
859,Fine Cloth Shirt,0,17
860,Cavalier's Boots,0,13
862,Runed Ring,45,50
863,Gloom Reaper,32,37
864,Knightly Longsword,33,38
865,Leaden Mace,26,31
866,Monk's Staff,37,42
867,Gloves of Holy Might,37,42
868,Ardent Custodian,38,43
869,Dazzling Longsword,36,41
870,Fiery War Axe,35,40
871,Flurry Axe,42,47
872,Rockslicer,16,21
873,Staff of Jordan,35,40
875,Brown Horse Summoning,1,1
876,Worn Wooden Buckler,1,1
877,Deprecated Old Skull,0,1
878,Fist-sized Spinneret,0,20
880,Staff of Horrors,18,23
883,Deprecated Fire Eyed Skull,0,1
884,Ghoul Rib,0,1
885,Black Metal Axe,19,24
886,Black Metal Shortsword,21,26
887,Pound of Flesh,0,25
888,Naga Battle Gloves,22,27
889,A Dusty Unsent Letter,0,1
890,Twisted Chanter's Staff,19,24
892,Gnoll Casting Gloves,17,22
893,Dire Wolf Fang,0,1
894,Deprecated Ravager Claw,0,1
895,Worgen Skull,0,1
896,Worgen Fang,0,1
897,Madwolf Bracers,24,29
898,Deprecated Broken Venomweb Fang,0,25
899,Venom Web Fang,14,19
900,Deprecated Nightmare Summoning (Mount),1,1
901,Deptecated White Stallion Summoning (Mount),1,1
902,Deprecated Palomino Summoning (Mount),1,1
903,Deprecated Pinto Summoning (Mount),1,1
906,Tan Leather Shoulderpads (Test),1,1
907,Black Mail Shoulderpads of might (Test),1,1
908,Plate Shoulderpad (Test),1,1
909,Silver Mail Shoulderpads (Test),1,1
910,An Undelivered Letter,0,1
911,Ironwood Treebranch,20,25
913,Huge Ogre Sword,24,29
914,Large Ogre Chain Armor,25,30
915,Red Silk Bandana,0,1
916,A Torn Journal Page,0,1
917,Deprecated Shadow Leather Armor,13,18
918,Deviate Hide Pack,0,25
920,Wicked Spiked Mace,20,25
921,A Faded Journal Page,0,1
922,Dacian Falx,21,26
923,Longsword,21,26
924,Maul,21,26
925,Flail,20,25
926,Battle Axe,20,25
927,Double Axe,19,24
928,Long Staff,20,25
929,Healing Potion,12,22
930,Deprecated Deep Pocket Pouch,0,25
931,Deprecated Heavy Brown Sack,0,25
932,Fel Steed Saddlebags,0,25
933,Large Rucksack,0,25
934,Stalvan's Reaper,32,37
935,Night Watch Shortsword,15,20
936,Midnight Mace,33,38
937,Black Duskwood Staff,33,38
938,Muddy Journal Pages,0,1
939,A Bloodstained Journal Page,0,1
940,Robes of Insight,42,47
941,Deprecated Speedstone,35,40
942,Freezing Band,47,52
943,Warden Staff,43,48
944,Elemental Mage Staff,56,61
945,Shadow Sword,1,1
948,Nature Sword,1,1
951,Tome of Whirlwind (TEST),1,1
954,Scroll of Strength,10,20
955,Scroll of Intellect,5,15
956,Deprecated Area Trigger Flag - Jasperlode mine,0,1
957,William's Shipment,0,1
958,Deprecated Area Trigger Flag - Darkhollow Mine,0,1
960,Deprecated Area Trigger Flag - Fargodeep,0,1
961,Healing Herb,0,5
962,Pork Belly Pie,0,1
964,Deprecated Red Linen Shirt,0,8
965,Deprecated Red Linen Sack,0,15
966,Tome of Frost Shield,8,8
967,Tome of Frost Ward,22,22
968,Tome of Fire Blast,6,6
973,Tome of Fireball II,12,12
974,Tome of Frost Armor II,10,10
975,Tome of Chains of Ice,10,10
976,Tome of Remove Curse,18,18
980,Tome of Frost Shield II,20,20
981,Bernice's Necklace,0,1
983,Red Linen Sash,0,9
985,Tome of Khadgar's Unlocking,18,18
986,Tome of Frostbolt II,8,8
989,Tome of Frost Nova,10,10
992,Tome of Fireball III,12,12
994,Tome of Ice Armor,30,30
996,Ring of Righteous Flame (TEST),1,2
997,Fire Sword of Crippling,1,1
1004,Tome of Chains of Ice II,30,30
1006,Brass Collar,0,1
1008,Well-used Sword,0,10
1009,Compact Hammer,0,13
1010,Gnarled Short Staff,0,8
1011,Sharp Axe,0,8
1013,Iron Rivet,0,1
1014,Large Moneybag (old),0,1
1015,Lean Wolf Flank,0,19
1016,Deprecated Lurker Leg,0,1
1017,Seasoned Wolf Kabob,15,25
1018,Chows Blade of DOOM! (Test),1,1
1019,Red Linen Bandana,0,1
1020,Leather Helmet D (Test),1,1
1021,Leather Helmet A (test),1,1
1022,Mail Helmet D (test),1,1
1023,Mail Helmet C (test),1,1
1024,Plate Helmet D2 (test),1,1
1025,Plate Helmet D1 (Test),1,1
1026,Plate Helmet D3 (test),1,1
1027,Mail Helmet A (Test),1,1
1028,Deprecated Dented Skullcap,15,20
1029,Tablet of Serpent Totem,4,4
1030,Tablet of Unyielding Will,10,10
1031,Tablet of Molten Blast,6,6
1032,Tablet of Agitating Totem,8,8
1033,Tablet of Nullify Poison,18,18
1034,Tablet of Undying Strength,22,22
1035,Tablet of Call Spirit,10,10
1036,Tablet of Nullify Disease,16,16
1037,Tablet of Lightning Bolt II,10,10
1038,Tablet of Restoration II,8,8
1041,Horn of the Black Wolf,30,30
1042,Deprecated Summon Winter Wolf (Mount),1,1
1043,Deprecated Summon Redwolf (Mount),1,1
1044,Deprecated Summon Brown Wolf (Mount),1,1
1046,Deprecated Light Blunderbuss,1,1
1047,Deprecated Heavy Blunderbuss,1,1
1048,Tablet of Lightning Shield II,16,16
1049,Tablet of Purge,12,12
1052,Tablet of Spirit Armor II,14,14
1053,Tablet of Molten Blast II,14,14
1057,Tablet of Restoration III,16,16
1058,Tablet of Lightning Bolt III,18,18
1061,Tablet of Nullify Poison II,26,26
1063,Tablet of Nullify Disease II,26,26
1072,Full Moonshine,0,25
1074,Hard Spider Leg Tip,0,1
1075,Shadowhide Pendant,0,1
1076,Defias Renegade Ring,20,25
1077,Defias Mage Ring,21,26
1078,Deprecated Writ of Lakeshire,0,1
1080,Tough Condor Meat,0,15
1081,Crisp Spider Meat,0,15
1082,Redridge Goulash,10,20
1083,Glyph of Azora,0,1
1084,Codex of Renew,8,8
1085,Codex of Mind Vision,22,22
1086,Codex of Inner Fire,12,12
1087,Codex of Shadow Word: Pain,4,4
1088,Codex of Renew II,14,14
1089,Codex of Nullify Disease,14,14
1090,Codex of Resurrection,10,10
1091,Codex of Holy Smite II,6,6
1092,Codex of Lesser Heal II,4,4
1093,Codex of Remove Curse,22,22
1095,Codex of Dispel Magic,18,18
1096,Codex of Shadow Word: Pain II,10,10
1099,Deprecated Codex of Sustenance II,21,21
1100,Codex of Holy Smite III,14,14
1101,Codex of Renew V,32,32
1102,Codex of Lesser Heal III,10,10
1105,Codex of Renew VI,38,38
1108,Codex of Renew III,20,20
1109,Codex of Dominate,30,30
1111,Codex of Sleep,6,6
1112,Codex of Holy Word: Fortitude II,12,12
1113,Conjured Bread,5,15
1114,Conjured Rye,15,25
1115,Deprecated Ragged Scalp,0,1
1116,Ring of Pure Silver,0,31
1117,Monster - Item, Fishing Pole,1,1
1119,Bottled Spirits,0,25
1121,Feet of the Lynx,19,24
1122,Deprecated Amulet of the White Stallion,40,45
1123,Deprecated Amulet of the Pinto,40,45
1124,Deprecated Amulet of the Palomino,40,45
1125,Deprecated Amulet of the Nightmare,0,1
1127,Flash Bundle,0,20
1128,Deprecated [PH] Redridge Rye,0,1
1129,Ghoul Fang,0,1
1130,Vial of Spider Venom,0,1
1131,Totem of Infliction,0,25
1132,Horn of the Timber Wolf,30,30
1133,Horn of the Winter Wolf,30,30
1134,Horn of the Gray Wolf,30,30
1136,Libram: Divine Favor II,18,18
1138,Libram: Divine Favor,4,4
1139,Libram: Cleanse,30,30
1141,Libram: Holy Light II,6,6
1144,Libram: Divine Shield,34,34
1146,Libram: Resurrection,12,12
1149,Libram: Seal of Might II,20,20
1150,Libram: Purify,6,6
1151,Libram: Holy Light III,14,14
1154,Belt of the People's Militia,0,14
1155,Rod of the Sleepwalker,24,29
1156,Lavishly Jeweled Ring,17,22
1157,Deprecated Militia Handaxe,1,4
1158,Solid Metal Club,0,10
1159,Militia Quarterstaff,0,5
1161,Militia Shortsword,0,5
1162,Pirates Patch (Test),5,10
1163,Dwarven Explorer's Monocle (Test),5,10
1164,Sam's Tome,0,1
1165,Test Food,1,1
1166,Dented Buckler,1,5
1167,Small Targe,5,10
1168,Skullflame Shield,54,59
1169,Blackskull Shield,41,46
1170,Deprecated Brown Leather Vest,0,8
1171,Well-stitched Robe,0,10
1172,Grayson's Torch,0,21
1173,Weather-worn Boots,0,10
1174,Deprecated Light Soldier Boots,0,10
1175,A Gold Tooth,0,1
1176,Smelling Salts,0,8
1177,Oil of Olaf,0,8
1178,Explosive Rocket,0,8
1179,Ice Cold Milk,5,15
1180,Scroll of Stamina,5,15
1181,Scroll of Spirit,1,10
1182,Brass-studded Bracers,0,10
1183,Elastic Wristguards,0,10
1184,Deprecated Scarlet Badge,0,40
1186,Deprecated Gnoll Taskmaster Whip,35,40
1187,Spiked Collar,20,30
1189,Overseer's Ring,15,20
1190,Overseer's Cloak,15,20
1191,Bag of Marbles,0,8
1192,Deprecated Overseer's Helm,15,20
1193,Banded Buckler,12,17
1194,Bastard Sword,1,4
1195,Kobold Mining Shovel,3,6
1196,Tabar,9,14
1197,Giant Mace,10,15
1198,Claymore,10,15
1199,Charged Soulstone,0,8
1200,Large Wooden Shield,1,5
1201,Dull Heater Shield,5,10
1202,Wall Shield,12,17
1203,Aegis of Stormwind,49,54
1204,The Green Tower,36,41
1205,Melon Juice,15,25
1206,Moss Agate,0,25
1207,Murphstar,34,39
1208,Maybell's Love Letter,0,1
1210,Shadowgem,0,20
1211,Gnoll War Harness,10,15
1212,Gnoll Spittle,0,15
1213,Gnoll Kindred Bracers,9,14
1214,Gnoll Punisher,12,17
1215,Support Girdle,17,22
1216,Frost Bracers,28,33
1217,Unknown Reward,0,1
1218,Heavy Gnoll War Club,16,21
1219,Redridge Machete,11,16
1220,Lupine Axe,15,20
1221,Underbelly Whelp Scale,0,1
1222,Broken Tooth,0,1
1224,Grimoire of Sense Demons,24,24
1228,Grimoire of Blood Boil,6,6
1229,Grimoire of Create Soulstone,18,18
1231,Grimoire of Shadow Bolt II,6,6
1232,Grimoire of Demon Skin II,10,10
1238,Grimoire of Fear,8,8
1239,Grimoire of Siphon Mana,26,26
1243,Grimoire of Shadow Bolt III,12,12
1244,Grimoire of Demon Armor,22,22
1245,Grimoire of Immolate II,10,10
1246,Grimoire of Demon Breath,16,16
1250,Grimoire of Detect Lesser Invisibility,26,26
1251,Linen Bandage,0,1
1252,Gramma Stonefield's Note,0,1
1253,Deprecated Summoned Lockpick,1,8
1254,Lesser Firestone,0,28
1255,Deprecated Conjured Mana Gem,18,28
1256,Crystal Kelp Frond,0,1
1257,Invisibility Liquor,0,1
1258,Bind On Use Test Item,35,40
1259,JYoo test item,0,1
1260,Tharil'zun's Head,0,1
1261,Midnight Orb,0,1
1262,Keg of Thunderbrew,0,15
1263,Brain Hacker,55,60
1264,Headbasher,0,26
1265,Scorpion Sting,34,39
1266,Deprecated Orcslayer,0,20
1267,Deprecated Cask of Merlot,1,1
1268,Deprecated Bottle of Moonshine,1,1
1269,Deprecated Skin of Sweet Rum,0,1
1270,Finely Woven Cloak,0,15
1272,Deprecated Fine Spun Mantle,13,18
1273,Forest Chain,0,25
1274,Hops,0,1
1275,Deputy Chain Coat,0,25
1276,Fire Hardened Buckler,0,27
1279,Deprecated Soft Leather Hood,0,19
1280,Cloaked Hood,33,38
1281,Deprecated Quiver (TEST),1,1
1282,Sparkmetal Coif,0,33
1283,Verner's Note,0,1
1284,Crate of Horseshoes,0,1
1287,Giant Tarantula Fang,10,15
1288,Large Venom Sac,0,1
1292,Butcher's Cleaver,20,25
1293,The State of Lakeshire,0,1
1294,The General's Response,0,1
1296,Blackrock Mace,16,21
1297,Robes of the Shadowcaster,26,31
1298,Deprecated Night Mage Wristguards,13,18
1299,Lesser Belt of the Spire,17,22
1300,Lesser Staff of the Spire,15,20
1302,Black Whelp Gloves,0,18
1303,Bridgeworker's Gloves,0,20
1304,Riding Gloves,0,20
1306,Wolfmane Wristguards,0,20
1307,Gold Pickup Schedule,7,7
1309,Oslow's Toolbox,0,1
1310,Smith's Trousers,0,20
1311,Deprecated Oslow's Wood Cutter,0,18
1312,Deprecated Oslow's Hammer,0,18
1313,Deprecated Oslow's Ice Pick,0,18
1314,Ghoul Fingers,15,20
1315,Lei of Lilies,46,51
1317,Hardened Root Staff,0,25
1318,Night Reaver,18,23
1319,Ring of Iron Will,0,25
1321,Deprecated Broiled Sunfish,0,15
1322,Fishliver Oil,0,21
1323,Deprecated [PH] Recipe: Broiled Sunfish,0,1
1324,Deprecated Parker's Lunch,0,1
1325,Daffodil Bouquet,0,1
1326,Sauteed Sunfish,0,15
1327,Wiley's Note,0,1
1328,Book of Faerie Fire,18,18
1332,Book of Cure Poison,14,14
1334,Book of Rejuvenation II,10,10
1339,Book of Entangling Roots,8,8
1341,Book of Moonfire,4,4
1349,Abercrombie's Crate,0,1
1350,Deprecated Hex Doll,0,40
1351,Fingerbone Bracers,23,28
1352,Cracked Skull Mortar,12,22
1353,Shaw's Report,0,1
1354,Deprecated Homespun Shawl,0,8
1355,Buckskin Cape,10,15
1356,Commendation - Elwynn Forest,0,1
1357,Captain Sander's Treasure Map,10,10
1358,A Clue to Sander's Treasure,0,1
1359,Lion-stamped Gloves,0,8
1360,Stormwind Chain Gloves,0,10
1361,Another Clue to Sander's Treasure,0,1
1362,Final Clue to Sander's Treasure,0,1
1363,Deprecated Captain Sander's Eyepatch,0,15
1364,Ragged Leather Vest,1,5
1366,Ragged Leather Pants,1,2
1367,Ragged Leather Boots,1,3
1368,Ragged Leather Gloves,1,4
1369,Ragged Leather Belt,1,5
1370,Ragged Leather Bracers,1,4
1371,Deprecated Ragged Leather Shoulderpads,1,2
1372,Ragged Cloak,1,3
1374,Frayed Shoes,1,4
1376,Frayed Cloak,1,5
1377,Frayed Gloves,1,3
1378,Frayed Pants,1,2
1379,Deprecated Frayed Shoulderpads,1,3
1380,Frayed Robe,1,4
1381,A Mysterious Message,0,1
1382,Rock Mace,0,5
1383,Stone Tomahawk,0,5
1384,Dull Blade,1,3
1385,Deprecated Farmer's Maul,1,4
1386,Thistlewood Axe,0,5
1387,Ghoulfang,14,19
1388,Crooked Staff,1,3
1389,Kobold Mining Mallet,2,7
1391,Riverpaw Mystic Staff,13,18
1392,Deprecated Wristguards of the Fen Warden,0,23
1394,Driftwood Club,10,15
1395,Apprentice's Pants,1,1
1396,Acolyte's Pants,1,1
1397,Deprecated Orc Acolyte's Pants,1,1
1398,Deprecated Dwarven Novice's Pants,1,1
1399,Magic Candle,1,8
1400,Swiftfeather Token,2,12
1401,Green Tea Leaf,4,14
1402,Brimstone,2,12
1403,Deprecated Capstone,35,40
1404,Tidal Charm,36,41
1405,Foamspittle Staff,12,17
1406,Pearl-encrusted Spear,20,21
1407,Solomon's Plea to Westfall,0,1
1408,Stoutmantle's Response to Solomon,0,1
1409,Solomon's Plea to Darkshire,0,1
1410,Ebonlocke's Response to Solomon,0,1
1411,Withered Staff,3,8
1412,Crude Bastard Sword,2,7
1413,Feeble Sword,3,8
1414,Cracked Sledge,4,9
1415,Carpenter's Mallet,4,9
1416,Rusty Hatchet,4,9
1417,Beaten Battle Axe,3,8
1418,Worn Leather Belt,2,7
1419,Worn Leather Boots,3,8
1420,Worn Leather Bracers,4,9
1421,Worn Hide Cloak,5,10
1422,Worn Leather Gloves,1,6
1423,Worn Leather Pants,2,7
1424,Deprecated Worn Leather Shoulderpads,3,8
1425,Worn Leather Vest,4,9
1427,Patchwork Shoes,5,10
1429,Patchwork Cloak,1,6
1430,Patchwork Gloves,2,7
1431,Patchwork Pants,3,8
1432,Deprecated Patchwork Cloth Shoulderpads,4,9
1433,Patchwork Armor,2,7
1434,Glowing Wax Stick,0,7
1435,Deprecated Bridge Worker's Yoke,0,15
1436,Frontier Britches,0,17
1438,Warrior's Shield,4,9
1440,Gnoll Skull Basher,14,19
1443,Jeweled Amulet of Cainwyn,55,60
1444,Deprecated Inferno Stone,35,40
1445,Blackrock Pauldrons,18,23
1446,Blackrock Boots,14,19
1447,Ring of Saviors,41,46
1448,Blackrock Gauntlets,15,20
1449,Minor Channeling Ring,0,24
1450,Potion of Fervor,15,25
1451,Bottle of Zombie Juice,0,1
1453,Spectral Comb,0,1
1454,Axe of the Enforcer,22,27
1455,Blackrock Champion's Axe,19,24
1457,Shadowhide Mace,17,22
1458,Shadowhide Maul,18,23
1459,Shadowhide Scalper,19,24
1460,Shadowhide Two-handed Sword,15,20
1461,Slayer's Battle Axe,20,25
1462,Ring of the Shadow,20,25
1464,Buzzard Talon,0,1
1465,Tigerbane,33,38
1467,Spotted Sunfish,0,1
1468,Murloc Fin,0,16
1469,Scimitar of Atun,14,19
1470,Murloc Skin Bag,0,25
1472,Deprecated Polished Lakestone Charm,35,40
1473,Riverside Staff,14,19
1475,Small Venom Sac,0,1
1476,Snapped Spider Limb,0,1
1477,Scroll of Agility II,25,35
1478,Scroll of Protection II,15,25
1479,Salma's Oven Mitts,0,12
1480,Fist of the People's Militia,0,17
1481,Grimclaw,20,25
1482,Shadowfang,19,24
1483,Face Smasher,16,21
1484,Witching Stave,17,22
1485,Pitchfork,20,25
1486,Tree Bark Jacket,19,24
1487,Conjured Pumpernickel,25,35
1488,Avenger's Armor,26,31
1489,Gloomshroud Armor,20,25
1490,Guardian Talisman,0,50
1491,Ring of Precision,20,25
1492,Deprecated Recipe: Murloc Fin Soup,0,1
1493,Heavy Marauder Scimitar,22,27
1495,Calico Shoes,8,13
1497,Calico Cloak,9,14
1498,Calico Gloves,10,15
1499,Calico Pants,6,11
1500,Master Totem,0,1
1501,Calico Tunic,8,13
1502,Warped Leather Belt,9,14
1503,Warped Leather Boots,10,15
1504,Warped Leather Bracers,6,11
1505,Warped Cloak,7,12
1506,Warped Leather Gloves,8,13
1507,Warped Leather Pants,9,14
1508,Deprecated Patched Leather Shoulderpads,10,15
1509,Warped Leather Vest,6,11
1510,Heavy Hammer,7,12
1511,Commoner's Sword,8,13
1512,Crude Battle Axe,7,12
1513,Old Greatsword,9,14
1514,Rusty Warhammer,9,14
1515,Rough Wooden Staff,7,12
1516,Worn Hatchet,9,14
1518,Ghost Hair Comb,0,1
1519,Bloodscalp Ear,0,1
1520,Troll Sweat,0,1
1521,Lumbering Ogre Axe,39,44
1522,Headhunting Spear,31,36
1523,Huge Stone Club,31,36
1524,Skullsplitter Tusk,0,1
1527,Deprecated Fistful of Hay,0,1
1528,Handful of Oats,0,1
1529,Jade,0,35
1532,Shrunken Head,0,1
1533,Deprecated Bloodscalp Idol,27,37
1534,Libram: Holy Light IV,22,22
1535,Deprecated Bloodscalp Vest,33,38
1536,Libram: Seal of Wrath,30,30
1537,Old Blanchy's Feed Pouch,0,1
1539,Gnarled Hermit's Staff,14,19
1544,Deprecated Candle of Black Smoke,0,40
1545,Deprecated Mantle of the Seas,0,18
1547,Shield of the Faith,0,30
1554,Tome of Frostbolt III,14,14
1557,Buckler of the Seas,0,20
1559,Tome of Arcane Missiles II,16,16
1560,Bluegill Sandals,16,21
1561,Harvester's Robe,0,15
1566,Edge of the People's Militia,0,17
1567,Tome of Khadgar's Unlocking II,30,30
1568,Tome of Water Elemental,30,30
1571,Tome of Frost Nova II,26,26
1574,Tome of Fire Ward,20,20
1588,Tablet of Molten Blast III,22,22
1589,Tablet of Spirit Armor III,28,28
1591,Tablet of Lightning Shield III,24,24
1596,Ghost Hair Thread,0,1
1597,Tablet of Lightning Storm,20,20
1598,Rot Blossom,0,1
1599,Deprecated [PH] Recipe: Zombie Juice,0,1
1602,Sickle Axe,34,39
1603,Tablet of Call Spirit II,40,40
1604,Chromatic Sword,40,45
1607,Soulkeeper,49,54
1608,Skullcrusher Mace,42,47
1612,Deprecated Skullsplitter Idol,28,38
1613,Spiritchaser Staff,39,44
1619,Tablet of Lightning Storm II,30,30
1622,Deprecated Foreman's Whip,37,42
1623,Raptor Skin Pouch,0,35
1624,Skullsplitter Helm,38,43
1625,Exquisite Flamberge,36,41
1630,Broken Electro-lantern,0,1
1637,Letter to Ello,0,1
1638,Deprecated Thornstone Chunk,0,39
1639,Grinning Axe,44,49
